
# Iteration 1

Area,Value,Unit,Description,Sample,Stddev,Multiplex,Bottleneck,Idle
Frontend_Bound,0.4,% Slots <,,frontend_retired.latency_ge_4,0.0,100.0,,
Bad_Speculation,0.4,% Slots <,,,0.0,100.0,,
Backend_Bound,29.9,% Slots,,topdown.backend_bound_slots,0.0,100.0,<==,
Retiring,69.2,% Slots <,,uops_retired.slots,0.0,100.0,,
MUX,100.0,%,,,0.0,100.0,,
# 4.8-full-perf on INTEL(R) XEON(R) SILVER 4514Y [spr/sapphire_rapids]

# Iteration 2

Area,Value,Unit,Description,Sample,Stddev,Multiplex,Bottleneck,Idle
Frontend_Bound,0.4,% Slots <,,frontend_retired.latency_ge_4,0.0,100.0,,
Bad_Speculation,0.4,% Slots <,,,0.0,100.0,,
Backend_Bound,28.8,% Slots,,topdown.backend_bound_slots,0.0,100.0,,
Retiring,70.4,% Slots,,uops_retired.slots,0.0,100.0,<==,
MUX,100.0,%,,,0.0,100.0,,
# 4.8-full-perf on INTEL(R) XEON(R) SILVER 4514Y [spr/sapphire_rapids]

# Iteration 3

Area,Value,Unit,Description,Sample,Stddev,Multiplex,Bottleneck,Idle
Frontend_Bound,0.4,% Slots <,,frontend_retired.latency_ge_4,0.0,100.0,,
Bad_Speculation,0.4,% Slots <,,,0.0,100.0,,
Backend_Bound,30.5,% Slots,,topdown.backend_bound_slots,0.0,100.0,<==,
Retiring,68.7,% Slots <,,uops_retired.slots,0.0,100.0,,
MUX,100.0,%,,,0.0,100.0,,
# 4.8-full-perf on INTEL(R) XEON(R) SILVER 4514Y [spr/sapphire_rapids]

# Iteration 4

Area,Value,Unit,Description,Sample,Stddev,Multiplex,Bottleneck,Idle
Frontend_Bound,0.4,% Slots <,,frontend_retired.latency_ge_4,0.0,100.0,,
Bad_Speculation,0.4,% Slots <,,,0.0,100.0,,
Backend_Bound,29.9,% Slots,,topdown.backend_bound_slots,0.0,100.0,<==,
Retiring,69.2,% Slots <,,uops_retired.slots,0.0,100.0,,
MUX,100.0,%,,,0.0,100.0,,
# 4.8-full-perf on INTEL(R) XEON(R) SILVER 4514Y [spr/sapphire_rapids]

# Iteration 5

Area,Value,Unit,Description,Sample,Stddev,Multiplex,Bottleneck,Idle
Frontend_Bound,0.4,% Slots <,,frontend_retired.latency_ge_4,0.0,100.0,,
Bad_Speculation,0.4,% Slots <,,,0.0,100.0,,
Backend_Bound,30.6,% Slots,,topdown.backend_bound_slots,0.0,100.0,<==,
Retiring,68.6,% Slots <,,uops_retired.slots,0.0,100.0,,
MUX,100.0,%,,,0.0,100.0,,
# 4.8-full-perf on INTEL(R) XEON(R) SILVER 4514Y [spr/sapphire_rapids]
